제천대성	齊天大聖
[0]각성 집행위원 S 문기주는 강력한 빛을 발산하여 주변의 적을 공격하고 적의 차력저항력을 무시 합니다.	[0]覺醒的執行委員S文其洙發射強力的光束來攻擊周圍的目標，無視目標的借力抵抗力。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 차력저항력 무시	[1]冷卻時間：[CoolTime]秒\n在半徑4.5m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內無視敵方的借力抵抗力
[0]각성 집행위원 S는 성검 발뭉의 힘을 이용하여 모든 적에게 강력한 피해를 입히고 일정 시간동안 차력 저항력을 증가시키는 궁극기입니다.	[0]覺醒的執行委員S借助聖劍巴魯蒙格的力量給全體目標造成強力傷害,並在一定時間內增加借力抵抗力。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 팀 전체의 차력 저항력\n[SkillAmount1]% 증가	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內全體隊友的借力抵抗力將增加[SkillAmount1]%
[0]각성 집행위원 S는 성기사의 후예로써 성기사의 수호를 받아 팀원의 방어력을 증가시키며 팀 전체를 일정 횟수 상태 이상으로부터 보호합니다.	[0]身為聖騎士後裔的覺醒執行委員S將受到聖騎士的庇護,以此增加隊友的防禦力,並免疫一定次數的全體隊友狀態異常。
[1]팀 전체의 방어력 [SkillAmount0]% 증가\n추가적으로 팀 전체 상태이상 [SkillAmount1]회 면역	[1]全體隊友的防禦力增加[SkillAmount0]%\n追加免疫[SkillAmount1]次全體隊友的狀態異常
[0]메딕 힐은 생명력을 회복시켜주는 특별한 빛의 회복기운을 지니고 있습니다.	[0]護士敘兒具有恢復生命力的特殊光環。
[0]메딕 힐의 치유의 빛은 팀원들을 즉시 회복시키는 힘을 지니고 있습니다.	[0]護士敘兒的治癒之光具有立即恢復隊友生命力的力量。
[0]조용히 숨겨뒀던 메딕힐의 마법의 빛은 그녀가 간호사인것을 잊게 할 만큼 모든 적에게 강력한 피해를 입히고 생명력을 회복시키는 궁극기입니다.	[0]不露鋒芒的護士敘兒的魔法之光將給全體目標造成強力傷害,並恢復隊友的生命力。
[0]메딕 힐이 간호사로서 익힌 부활의 축복은 전투 불능에 빠진 팀원을 전장으로 복귀시킵니다.	[0]護士敘兒所掌握的復活技能使喪失戰鬥能力的隊友重返戰場。
[1]최초로 사망한 팀원을 최대 생명력의 [SkillAmount0]%로 1회 부활	[1]使最初陣亡的隊友以最大生命力的[SkillAmount0]%復活一次
[0]각성 메딕 힐은 생명력을 회복시켜주는 특별한 빛의 회복기운을 지니고 있습니다.	[0]覺醒護士敘兒具有恢復生命力的特殊光環。
[1]쿨타임: [CoolTime]초\n팀원의 생명력을 [SkillAmount0]% 즉시 회복	[1]冷卻時間：[CoolTime]秒\n使隊友的生命力立即恢復[SkillAmount0]%
[0]각성 메딕 힐의 치유의 빛은 팀원들을 즉시 회복시키는 힘을 지니고 있습니다.	[0]覺醒護士敘兒的治癒之光具有立即恢復隊友生命力的力量。
[0]조용히 숨겨뒀던 각성 메딕힐의 마법의 빛은 그녀가 간호사인것을 잊게 할 만큼 모든 적에게 강력한 피해를 입히고 생명력을 회복시키는 궁극기입니다.	[0]不露鋒芒的覺醒護士敘兒的魔法之光將給全體目標造成強力傷害,並恢復隊友的生命力。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 팀원의 생명력을 [SkillAmount1]%씩 [ContinueTime]초간 회복	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內將隊友的生命力追加恢復[SkillAmount1]%
[0]각성 메딕 힐이 간호사로서 익힌 부활의 축복은 전투 불능에 빠진 팀원을 전장으로 복귀시키고 방어력을 증가시킵니다.	[0]覺醒護士敘兒所掌握的復活技能使喪失戰鬥能力的隊友重返戰場，並增加其防御力。
[1]최초로 사망한 팀원을 최대 생명력의 [SkillAmount0]%로 1회 부활, 추가적으로 [ContinueTime]초간 부활한 팀원의 방어력 [SkillAmount1]% 증가	[1]使最初陣亡的隊友以最大生命力的[SkillAmount0]%復活一次，並在[ContinueTime]秒內將復活的隊友的防御力增加[SkillAmount1]%
[0]메딕 사이는 사랑의 힘으로 주변의 적을 공격하고, MP 회복량을 증가시킵니다.	[0]護士莎伊借助愛的力量攻擊周圍目標,並增加MP恢復量。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 MP 회복량 [SkillAmount1]% 증가	[1]冷卻時間：[CoolTime]秒\n在半徑4.5m範圍內進行傷害量[SkillAmount0]%的攻擊[ContinueTime]秒內追加提升[SkillAmount1]%的MP恢復量
[0]메딕 사이의 치명적인 매력은 주변의 적에게는 피해를 입히고 아군의 생명력을 회복시킵니다.	[0]護士莎伊的致命魅力是給周圍的目標造成傷害,同時恢復隊友的生命力。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 팀원의 생명력을 [SkillAmount1]% 즉시 회복	[1]冷卻時間：[CoolTime]秒\n在半徑4.5m範圍內進行傷害量[SkillAmount0]%的攻擊隊友的生命力立即恢復[SkillAmount1]%
[0]신비의나노는 메딕 사이의 사랑의 파워가 더해져 모든 적에게 강력한 피해를 입히고 팀의 생명력을 회복시키는 궁극기입니다.	[0]神奇的納米與護士莎伊的愛之力量相結合後,給全體目標造成強力傷害,並恢復隊友的生命力。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 팀원의 생명력을 [SkillAmount1]% 즉시 회복	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n隊友的生命力立即恢復[SkillAmount1]%
[0]메딕사이는 그녀만의 특별한 힘을 이용해 팀의 최대 생명력과 최대 MP를 증가시킵니다.	[0]護士莎伊使用自己特殊的力量來增加隊友的最大生命力和最大MP。
[1]팀 전체의 최대 생명력 [SkillAmount0]% 증가\n추가적으로 최대 MP량 [SkillAmount1]% 증가	[1]全體隊友的最大生命力增加[SkillAmount0]%\n最大魔法量追加[SkillAmount1]%
[0]각성 메딕 사이는 사랑의 힘으로 주변의 적을 공격 후 팀의 MP 회복량을 증가시키며 적의 차력 공격력을 감소시킵니다.	[0]覺醒護士莎伊借助愛的力量攻擊周圍目標,並增加MP恢復量，降低敵人的借力攻擊力。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 MP 회복량 [SkillAmount1]% 증가\n그리고 적의 차력 공격력 [SkillAmount2]% 감소	[1]冷卻時間：[CoolTime]秒\n在半徑4.5m範圍內進行傷害量[SkillAmount0]%的攻擊[ContinueTime]秒內追加提升[SkillAmount1]%的MP恢復量\n並降低敵人的[SkillAmount2]%借力攻擊力
[0]각성 메딕 사이의 치명적인 매력은 주변의 적을 공격후 팀의 생명력을 회복시키며 적의 차력 공격력을 감소시킵니다.	[0]覺醒護士莎伊的致命魅力是給周圍的目標造成傷害,同時恢復隊友的生命力並降低敵人的借力攻擊力。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 팀의 생명력을 [SkillAmount1]%씩 천천히 회복 그리고 적의 차력 공격력 [SkillAmount2]% 감소	[1]冷卻時間：[CoolTime]秒\n在半徑4.5m範圍內進行傷害量[SkillAmount0]%的攻擊\n隊友的生命力逐漸恢復[SkillAmount1]%並降低敵人的[SkillAmount2]%借力攻擊力
[0]각성 메딕 사이의 사랑의 파워가 더해진 신비의 나노는 적에게 강력한 피해를 입힌 후 팀의 생명력을 회복시키고 적의 차력 공격력을 감소시키는 궁극기입니다.	[0]神奇的納米與覺醒護士莎伊的愛之力量相結合後,給全體目標造成強力傷害,並恢復隊友的生命力，降低敵人的借力攻擊力。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 팀의 생명력을 [SkillAmount1]%씩 천천히 회복 그리고 적의 차력 공격력 [SkillAmount2]% 감소	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n隊友的生命力逐漸恢復[SkillAmount1]%，敵人的借力攻擊力降低[SkillAmount2]%
[0]각성 메딕사이는 그녀만의 특별한 힘을 이용해 팀의 최대 생명력을 증가시키고 확률적으로 마비 효과로 부터 팀을 보호 합니다.	[0]覺醒護士莎伊使用自己特殊的力量來增加隊友的最大生命力和最大魔法值，並有一定機率使隊友免疫癱瘓效果。
[1]팀 최대 생명력 [SkillAmount0]% 증가\n추가적으로 [SkillRatio1]%의 확률로 팀원이 마비 효과에 면역	[1]全體隊友的最大生命力增加[SkillAmount0]%\n[SkillRatio1]%的機率抵抗癱瘓效果
[0]제갈 아류 철산고는 전방의 적에게 순간 이동하여 공격한 후 한동안 출혈효과를 부여합니다.	[0]諸葛亞流鐵山拷瞬間移動至前方後向目標進行攻擊,並造成出血傷害。
[1]쿨타임: [CoolTime]초\n전방 3m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 피해량 [SkillAmount1]%의 출혈 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n在前方3m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內追加造成傷害量[SkillAmount1]%的出血傷害
[0]제갈택은 메갈로돈의 이빨을 이용하여주변 적에게 공격을 한 후 확률적으로 출혈효과를 부여합니다.	[0]諸葛澤使用巨齒鯊的牙齒攻擊周圍目標後,一定機率造成出血傷害。
[1]쿨타임: [CoolTime]초\n전방 9m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [SkillRatio1]%의 확률로 피해량 [SkillAmount1]%의 출혈 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n在前方9m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內以[SkillRatio1]%的機率追加造成[SkillAmount1]%的出血傷害
[0]만족할줄 모르며 만물을 먹어치우는 제갈택의 차력 탐은 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]吞噬萬物的諸葛澤的借力貪婪將給全體目標造成強力傷害。
[0]탐의 늘어가는 식욕은 적의 공격조차 먹어치웁니다.	[0]逐漸變貪婪的食慾可以吞掉目標的攻擊。
[1]자신이 받는 공격 피해량 [SkillAmount0]% 감소	[1]自身所受的攻擊傷害量減少[SkillAmount0]%
[0]세턴의 차력을 이용한 새미의 폭격은 전방의 적에게 강력하게 피해를 입힙니다. 또한 확률적으로 적을 곰돌이로 바꿔버립니다.	[0]使用賽頓的借力進行的賽迪轟炸給前方的目標造成強力傷害,並一定機率使目標變成熊仔。
[0]세턴은 그레네이드의 곰 총알을 이용해 전방의 넓은 범위의 적을 공격한 후, 확률적으로 적을 곰돌이로 바꿔버립니다.	[0]賽頓使用榴彈槍的熊仔子彈攻擊前方大範圍內目標後,有機率使其變成熊仔。
[0]세턴이 가지고 다니는 거대한 총 그레네이드의 저격은 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]賽頓手持巨大榴彈槍進行狙擊,並給全體目標造成強力傷害。
[0]세턴이 지닌 특별한 탄환에 맞은 적은 차력 공격력이 약화됩니다.	[0]被賽頓的特殊彈丸射中的目標其借力攻擊力將得到弱化。
[1]적군 전체의 차력 공격력 [SkillAmount0]% 감소	[1]使全體目標的借力攻擊力減少[SkillAmount0]%
[0]엑슬리의 차력 간파 능력은 상대의 차력 저항력을 무시할 수 있게합니다.	[0]埃斯利識破借力的能力可以讓自身無視目標的借力抵抗力。
[1]쿨타임: [CoolTime]초\n[ContinueTime]초간 적의 차력 저항력 무시	[1]冷卻時間：[CoolTime]秒\n[ContinueTime]秒內無視目標的借力抵抗力
[0]엑슬리의 검에서 발동되는 롤랑의 빛은 주변의 적을 강력하게 공격합니다.	[0]埃斯利的劍中施放出了羅蘭之劍的光芒,並給周圍目標進行強大攻擊。
[0]엑슬리가 보유한 국보 듀란달을 이용한 일격으로 모든 적에게 강력한 피해를 입히고 일정 시간동안 막기 확률을 증가시키는 궁극기입니다.	[0]埃斯利使用國寶杜蘭朵進行的強力一擊給全體目標造成強力傷害,並在一定時間內增加阻擋機率。
[0]엑슬리의 차력에 의한 우열의 방패는 확률적으로 팀원을 혼돈 효과로부터 보호하며 자신의 차력 저항력을 증가시킵니다.	[0]作為埃斯利借力的優劣盾牌將免疫隊友的混沌效果,並增加自身的借力抵抗力。
[1][SkillRatio0]%의 확률로 팀원이 혼돈 효과에 면역\n추가적으로 자신의 차력 저항력 [SkillAmount1]% 증가	[1]以[SkillRatio0]%的機率免疫隊友的混沌效果\n自身的借力抵抗力追加[SkillAmount1]%
[0]맥도날드의 대검찌르기는 주위의 적에게 강한 공격을 합니다.	[0]麥克唐納的劍刺給周圍的目標進行強力一擊。
[0]맥도날드는 재생의 힘을 지닌 벌레의 고치를 이용해 팀 전체의 생명력을 즉시 회복시킵니다.	[0麥克唐納利用再生能力的蟲繭立即恢復全體隊友的生命力。
[0]맥도날드의 대검에 재생벌레의 힘을 입힌 썰기 공격으로 모든 적에게 강력한 피해를 입히고 생명력을 회복하는 궁극기입니다.	[0]麥克唐納的大劍結合再生蟲的力量後,給全體目標造成強力傷害,並恢復隊友的生命力。
[0]재생 애벌레가 성충이 되기 위한 변이를 통해 맥도날드는 2회 부활합니다.	[0]透過再生幼蟲的變異麥克唐納將進行第2次復活。
[1]최대 생명력의 [SkillAmount0]%로 2회 부활	[1]以最大生命力的[SkillAmount0]%進行第2次復活。
[0]리뉴얼 태권도의 기술인 빠른 3연속 회축으로 상대에게 큰 피해를 입힙니다.	[0]使用新式跆拳道的快速三連迴旋踢給目標造成巨大傷害。
[0]리뉴얼 태권도 진 회축은 전방의 모든 적에게 발차기를 날려 공격합니다.	[0]使用新式跆拳道的真迴旋踢攻擊前方全體目標。
[0]진모리 오리지날 기술로, 청룡을 소환하여 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]該為陳毛利的獨創技術,召喚青龍給全體目標造成強力傷害。
[0]나봉침류 제아봉침을 이용해 혈을 자극하여 팀원의 무투 공격력을 증가시킵니다.	[0]使用羅峰針類濟我峰針法刺激穴位後,增加隊友的武鬥攻擊力。
[0]사신무 오의 중 현무의 권은 극진공수도의 주먹을 이용한 정권으로 전방의 적을 공격한 후 방어력을 감소시킵니다.	[0]在四神舞奧義中玄舞拳為極真空手道的正拳,使用該拳攻擊前方目標後降低其防禦力。
[1]쿨타임: [CoolTime]초\n전방 3m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 방어력 [SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在前方3m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內追加減少目標防禦力[SkillAmount1]%
[0]사신무 오의 주작의 각은 땅을 내딛는 순간 발동되는 파동에 의해 전방 근처의 적에게 강력한 공격을 합니다.	[0]利用四神舞奧義的朱雀腳落地的瞬間產生的波動來攻擊周圍的目標。
[0]사신무 오의 청룡의 파는 사신의 힘을 파장으로 돌려 전방의 모든 적에게 강력한 피해를 입히고 일정 시간동안 방어력을 증가시키는 궁극기입니다.	[0]四神舞奧義的青龍波將四神的力量轉換為波長後給全體目標造成強力傷害,並在一定時間內提升防禦力。
[0]숨은 사신의 힘에 의해 보호받는 한대위는 팀 전체에 방어력을 증가시키고 이동 및 공격 속도 감소효과를 무효화시킵니다.	[0]受到四神之力保護的韓大偉將提升全體隊友的防禦力,並使移動及攻擊速度減速效果無效化。
[1]팀 전체의 방어력 [SkillAmount0]% 증가\n추가적으로 팀 전체 속도 감소 효과 면역	[1]全體隊友的防禦力提升[SkillAmount0]%\n追加免疫全體隊友的減速效果
[0]월광검법의 기운을 담아 날리는 통배권은 전장의 적을 공격합니다.	[0]聚集月光劍法的氣息後,朝著目標揮動通背拳。
[0]유미라는 차력 여포의 방천화극을 이용하여 주변의 적에게 3회의 공격 피해를 입힙니다. 또한 적들의 차력 공격력을 감소시킵니다.	[0]劉美羅使用借力呂布的方天畫戟給周圍目標造成3次攻擊傷害,並降低其借力攻擊力。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격 3회\n추가적으로 [ContinueTime]초간 적의 차력 공격력\n[SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在半徑4.5m範圍內進行3次傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標的借力攻擊力降低[SkillAmount1]%
[0]월광검법 계승자인 유미라는 흐르는듯한 월광검법의 기술로 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]月光劍法的繼續人劉美羅施展行雲流水般的月光劍法給全體目標造成強力傷害。
[0]월광검법의 무검의 경지에 이른 유미라는 자신의 차력공격력을 증가시킵니다.	[0]達到月光劍法無劍境界的劉美羅將提升自身的借力攻擊力。
[0]백승철은 빠른 판단력으로 상대의 방어를 무시한채 필승공격을 할 수 있습니다.	[0]白勝哲以果決的判斷力無視對方的防禦,並發動必勝攻擊。
[1]쿨타임: [CoolTime]초\n[ContinueTime]초간 적의 방어력 무시	[1]冷卻時間：[CoolTime]秒\n[ContinueTime]秒內無視目標的防禦力
[0]정의 구현을 위해 득도한 백승철은 정의의 몽둥이로 전방의 적을 5회 공격합니다.	[0]為了實現正義得道的白勝哲使用正義之棒對前方目標進行5次攻擊。
[1]쿨타임: [CoolTime]초\n전방 2m 범위에 피해량 [SkillAmount0]%의 공격 5회	[1]冷卻時間：[CoolTime]秒\n在前方2m範圍內進行5次傷害量[SkillAmount0]%的攻擊
[0]12개의 창을 소환하는 더즈 란스 드 콤뱃은 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]可召喚12支槍的12支標槍技能給全體目標造成強力傷害。
[0]백승철의 정의로운 기운은 더욱 강력한 공격을 할 수 있게합니다.	[0]白勝哲的正義氣息可以提升自身攻擊力。
[1]자신의 공격 피해량 [SkillAmount0]% 증가	[1]自身的攻擊傷害量增加[SkillAmount0]%
[0]쌈수택견 기술중 하나인 발경은 상대에게 빠르게 이동해 전방의 적에게 강력한 기를 날려 공격합니다.	[0]決然手跆跟技能之一的發勁可迅速移動至目標處,並給目標進行強力一擊。
[0]쌈수택견 오의 화축은 강력한 발차기로 생성된 불길로 적을 공격한 후, 화상효과를 부여합니다.	[0]決然手跆跟的奧義火蹴以強力腳踢產生的火焰攻擊目標,並造成燃燒傷害。
[1]쿨타임: [CoolTime]초\n전방 6m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 피해량 [SkillAmount1]%의 화상 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n在前方6m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內追加造成傷害量[SkillAmount1]%的燃燒傷害
[0]삼염멸도각은 쌈수택견 최종오의로 화염을 일으키며 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]三焰滅刀腳為決然手跆跟的最終奧義,利用產生的火焰來給全體目標造成強力傷害。
[0]열쇠는 적들이 효율적인 공격을 할 수 없게 만듭니다.	[0]鑰匙可阻止目標進行有效攻擊。
[1]적군 전체의 공격 피해량 [SkillAmount0]% 감소	[1]全體目標的攻擊傷害量減少[SkillAmount0]%
[0]레슬링장의 로프를 이용하여 적에게 이동 후 전방의 적을 공격합니다. 또한 적들의 이동 속도를 감소시킵니다.	[0]利用摔角場四周的粗繩移動到目標處後進行攻擊,並降低目標的移動速度。
[1]쿨타임: [CoolTime]초\n전방 5m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 이동 속도 [SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在前方5m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標的移動速度追加降低[SkillAmount1]%
[0]마미선의 강력한 바디슬램으로 주변의 적을 공격한 후, 이동속도를 감소시킵니다.	[0]馬美善使用強力的背摔攻擊周圍目標後,降低其移動速度。
[1]쿨타임: [CoolTime]초\n반경 2m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 이동 속도 [SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在半徑2m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標的移動速度追加降低[SkillAmount1]%
[0]프로레슬링의 기술중 하나인 플라잉 바디프레셔는 이름에 걸맞게 높이 날아올라 모든 적에게 강력한 피해를 입히고 일정 시간동안 방어력을 증가시키는 궁극기입니다.	[0]使用專業摔角技術之一的飛身重壓給全體目標造成強力傷害,並在一定時間內提升防禦力。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 팀 전체의 방어력 [SkillAmount1]% 증가	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內全體隊友的防禦力追加[SkillAmount1]%
[0]여성임에도 강철같이 단단한 육체에서 뿜어져 나오는 오라는 팀 전체에게 지속 피해에 대한 피해 감소효과와 일정 횟수 상태 이상에 대한 면역을 제공합니다.	[0]在鋼鐵般堅固的軀體中散發出的光暈可減少全體隊友的持續傷害,並免疫一定次數的狀態異常。
[1]팀 전체가 받는 지속 피해량 [SkillAmount0]% 감소\n(지속피해=중독,출혈,화상,감전)\n추가적으로 팀 전체 상태이상 [SkillAmount1]회 면역	[1]全體隊友受到的持續傷害量減少[SkillAmount0]%\n(持續傷害=中毒、出血、燃燒、觸電)\n追加免疫[SkillAmount1]次全體隊友的狀態異常
[0]고감도의 태극권 철마산은 전방의 적에게 순간적으로 이동하여 공격하며 적의 공격 속도를 감소시킵니다.	[0]高甘都利用太極拳鐵馬山瞬間移動到前方目標處攻擊目標,並降低其攻擊速度。
[1]쿨타임: [CoolTime]초\n전방 3m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 공격 속도 [SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在前方3m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內使目標的攻擊速度追加降低[SkillAmount1]%
[0]태극권의 비기중 하나로, 기를 모아 날리는 진붕권은 전방의 넓은범위에 피해를 입힙니다.	[0]聚氣後施展的真崩拳為太極拳秘技之一,將給前方的目標造成範圍傷害。
[0]태극권 극의 음양오행경은 마음이 중용에 이를때, 에너지를 한순간 폭발시켜 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]內心達到中庸境界時,太極拳極意陰陽五行經將在瞬間爆發能量,並給全體目標造成強力傷害。
[0]태극권의 특별한 비기중 하나로, 팀원들과 조화의 이치를 통해 무투 공격력을 증가시킵니다.	[0]該為太極拳的特殊秘技之一,透過與隊友們的和諧配合來增加武鬥攻擊力。
[0]강력한 다리의 힘을 사용하는 ITF의 힘은 점프 후 주변의 적을 강하게 공격합니다.	[0]跳躍後利用強大的腿部力量給周圍目標進行強力一擊。
[0]강만석은 순간적 육체의 힘을 극대화 시키고 거대해 집니다. 거대해진 순간에는 공격력과 방어력이 모두 증가합니다.	[0]江宛石可以瞬間將肉體的力量極大化,並使自己變大,在變大的瞬間其攻擊力和防禦力將獲得提升。
[1]쿨타임: [CoolTime]초\n[ContinueTime]초간 거대화 (거대화 시 공격력과 방어력이 [SkillAmount0]% 증가합니다.)	[1]冷卻時間：[CoolTime]秒\n[ContinueTime]秒內巨大化(巨大化時,攻擊力和防禦力提升[SkillAmount0]%。)
[0]무거운 바지로 단련한 다리의 힘을 한동안 증폭시켜 강하게 내려치는 기술로 모든 적에게 강력한 피해를 입히고 일정 시간동안 슈퍼 아머 효과를 제공하는 궁극기입니다.	[0]瞬間爆發腿部力量來擊打目標後給其成強力傷害,並在一定時間內賦予超級霸體效果。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 팀 전체 슈퍼 아머 효과	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內給全體隊友賦予超級霸體效果
[0]고도로 단련된 ITF의 기술은 팀 전체의 막기 확률을 증가시킵니다.	[0]技高一籌的北派跆拳道技術可提升全體隊友的阻擋機率。
[1]팀 전체의 막기 확률 [SkillAmount0]% 증가	[1]全體隊友的阻擋機率提升[SkillAmount0]%
[0]다나와는 산적왕의 특별 기술 패왕색을 이용하여 자신의 공격 피해량을 증가시킵니다.	[0]多南羽使用山賊王的特殊技能霸王色霸氣來增加自身的攻擊傷害量。
[0]만화속 영환을 모티브로 만든 영혼의 환은 손가락에 영기를 집중하여 전방의 넓은범위의 적을 공격 후 확률적으로 수면효과를 부여합니다.	[0]模仿漫畫中的靈環而鍛造的靈魂之環在手指中凝聚靈氣後,向前方目標進行範圍攻擊,並一定機率賦予睡眠效果。
[1]쿨타임: [CoolTime]초\n전방 9m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [SkillRatio1]%의 확률로 [ContinueTime]초간 수면	[1]冷卻時間：[CoolTime]秒\n在前方9m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內以[SkillRatio1]%的機率追加造成睡眠狀態
[0]저주받은 동술 오륜안을 이용하여 모든 적에게 강력한 피해를 입히는 궁극기입니다.	[0]使用受詛咒的瞳術書迴眼給全體目標造成強力傷害。
[0]사냥꾼의 기술인 효는 자신의 차력 공격력을 증가시킵니다.	[0]使用全職獵人的念能力增加自身的借力攻擊力。
[1]자신의 차력 공격력 [SkillAmount0]% 증가	[1]自身的借力攻擊力增加[SkillAmount0]%
[0]나기동이 싸움의 정석으로 꼽은 이 기술은 주변의 적을 공격하여 무투 저항력을 감소시킵니다.	[0]羅基東使用該打鬥技攻擊周圍目標後,降低其武鬥抵抗力。
[1]쿨타임: [CoolTime]초\n반경 3m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 무투 저항력\n[SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在半徑3m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標的武鬥抵抗力追加減少[SkillAmount1]%
[0]동네 싸움의 달인 나기동은 적을 내려찍는 해머링 기술을 이용하여 전방의 적을 공격 후 무투 저항력을 감소시킵니다.	[0]羅基東使用錘打技術攻擊前方目標後,降低其武鬥抵抗力。
[1]쿨타임: [CoolTime]초\n전방 9m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 무투 저항력\n[SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在前方9m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標的武鬥抵抗力追加減少[SkillAmount1]%
[0]사커킥은 축구와 싸움을 결합한 독특한 싸움의 방식중 하나로, 모든 적에게 강력한 피해를 입히고 일정 시간동안 무투저항력을 증가시키는 궁극기입니다.	[0]足球踢是將足球和格鬥相結合的獨特格鬥方式之一,將給全體目標造成強力傷害,並在一定時間內增加武鬥抵抗力。
[0]공포의 108야차로 소문난 나기동은 자신에 가해지는 공격을 상당수 막아내며 아군을 상태 이상으로부터 일정 횟수 보호합니다.	[0]被稱為恐怖108夜叉的羅基東可阻止多數攻擊,並使隊友免疫一定次數的狀態異常。
