나를 지켜줘	十里重生
51 스테이지 도달	到達51關
멀리 올라가서 환생해 더 많은 영혼을 얻을 수 있습니다."	"過20關才能重生。
101 스테이지에 최초 1회 도달하세요.	請首次到達101關。
101 스테이지 도달	到達第101關
파티 레벨이 1씩 오릅니다. 레벨을 꾸준히 올려봅시다."	"恭喜您到達第101關。
201 스테이지에 최초 1회 도달하세요.	請首次到達201關。
201 스테이지 도달	到達第201關
던전에서는 많은 재료를 얻을 수 있으니 자주 갑시다."	"經歷了一段漫長的旅行，是否經常探索迷宮？
301 스테이지에 최초 1회 도달하세요.	請首次到達301關。
301 스테이지 도달	到達第301關
1초마다 모으게 레벨을 올리면 큰 도움이 됩니다."	是否已經收集了大量寶石？最好使用收集的寶石升級少女的技能。重點在於龍之少女技能升級，每秒都可以收集淨化晶石。
401 스테이지에 최초 1회 도달하세요.	請首次到達401關。
401 스테이지 도달	到達第401關
""파티원""효과가 붙은 장비를 장착시키는게 좋습니다."	"武器擁有穿戴效果和集滿效果，只有穿戴相關武器才能獲得穿戴效果。即使沒有一同上陣也能發揮效果。
501 스테이지에 최초 1회 도달하세요.	請首次到達501關。
501 스테이지 도달	到達第501關
발휘됩니다. 무기가 모일때 마다 레벨을 올리면 좋습니다."	"只有擁有相關武器才能獲得集滿效果。
601 스테이지에 최초 1회 도달하세요.	請首次到達601關。
601 스테이지 도달	到達第601關
관련된 공격, 방어, 체력 무기를 장착하고 전투하면 좋겠죠?"	"穿戴擁有「重生時獲得靈魂」效果的裝備，
701 스테이지에 최초 1회 도달하세요.	請首次到達701關。
701 스테이지 도달	到達第701關
이동속도와 전투 속도의 레벨을 많이 올립시다."	"使用2倍、3倍加速可以快速狩獵。
801 스테이지에 최초 1회 도달하세요.	請首次到達801關。
801 스테이지 도달	到達第801關
클리어가 가까워지면 보상을 받아갑시다."	"每100關發放一次獎勵，直至第1101關。
901 스테이지에 최초 1회 도달하세요.	請首次到達901關。
901 스테이지 도달	到達第901關
무기에도 있지만 불꽃 주술사의 ""애비스 파이어"" 스킬도 효과적입니다."	"這是首次到達更高關卡的獎勵。
1001 스테이지에 최초 1회 도달하세요.	請首次到達1001關。
1001 스테이지 도달	到達第1001關
스테이지 진행에 도움을 줍니다."	"這是第二次到達更高關卡的獎勵。
스테이지 도달	過關
1101 스테이지에 최초 1회 도달하세요.	請首次到達1101關。
1101 스테이지 도달	到達第1101關
상승합니다. 여유가 있을 때마다 무기를 초월해 봅시다."	"你瞭解「武器優化」功能嗎？
소지보석 :	持有寶石：
치유의 손길 빠른 회복	快速恢復治癒技能
<치유의 손길>이 {0}초 더 빨리 회복합니다.	<少女的祈禱>的快速恢復時間提前{0}秒。
습득가능	可以學習
유이나! <영혼>이라는 걸 얻으면 빨리 강해질 수 있다고 하던데	尤伊娜！獲得<靈魂>，可以快速變強，
혹시 어디서 구하는지 기억나니?	你記得在哪裡獲得靈魂嗎?
되요."	靈魂……靈魂？！想起來了！進行<重生>可以獲得靈魂。
있어요."	與怪物戰鬥20次以上就可以<重生>。
얻을 수 있을 거에요!"	雖然透過淨化晶石已提升的等級及過關的關卡會被重置，但我們可以獲得更多靈魂！
지체할 틈이 없군. 어서 <환생> 하자!	請勿遲疑。快去<重生>吧！
좋은 방법이 없을까요?"	我變強的話，可以成為大家的助力。沒有什麼好方法嗎？
마법을 걸 수 있어."	哦……真的嗎？尤伊娜很喜歡寶石，雖然她不承認……將寶石作為材料可以強化4項增益。
2배나 빨라지지. 처음이니 무료로 해줄게~"	使用<2倍加速>增益魔法，戰鬥速度可以加速2倍。首次我們將免費贈送。
흑…감사합니다!	謝謝！
것인지 아는 분 있나요?"	我已經擁有很多靈魂了……有人知道這個怎麼使用嗎？
돼."	如果想變強，可以提升等級或升級技能。
여기 <캐릭터 메뉴>에서 캐릭터의 등급이나 가진 스킬을 강화할 수 있으니 한번 강화해 볼까?	點擊<英雄功能表>，可以強化英雄等級和所學技能，你要試一下嗎？
음.. 저게 뭐예요? 너무 귀여워요~	恩……那個是什麼？太可愛了！
슬라임! 유이나 대단해! 희귀한 녀석인데 잘 찾았어! 도망가기 전에 빨리 때려야 돼!	史萊姆！尤伊娜，你好棒啊！這可是個寶貴的東西，你真會找！一定要在它逃跑之前擊敗它。
흑… 슬라임이 너무 불쌍해요…	哎呀……史萊姆太可憐了……
엄청 떨어진다고. 보석도 준다고!"	嗯？尤伊娜擊敗它，會掉落大量獎勵。聽說還有寶石呢！
앗! 보석 좋아요! 에잇!	啊！太好了，是寶石！耶！
어디서 구할 수 있지?"	喂！艾麗卡我需要更高性能的武器，要去哪裡取得呢？
보석으로 살 수 있는 다양한 등급의 무기 상자에서 무기가 나오지. 하지만 우린 보석이 적은걸..	可以使用寶石購買各種等級的箱子，箱子中可以開出武器。但是我們的寶石不多……
얼마든지 드려도 돼요."	我可以送你寶石。我可以送大家很多很多寶石。
하앗! 마법으로 클리어한 이전 던전을 자동 진행 할 수 있게 했어.	哈!之前使用魔法過關的關卡，可以自動過關。
완료까지 남은 시간도 보이네요! 마법 대단해요!"	哇！這裡可以即時查看獲得獎勵，以及完成過關所需的剩餘時間。了不起的魔法。
유이나가 좋아하니 언니도 뿌듯하네. 던전을 자동 진행하면서도 스테이지를 계속 진행할 수 있으니 일석이조겠지?	看到尤伊娜這麼喜歡，我也覺得很欣慰。
던전을 또 돌고 싶은데 자동 진행하는 던전이 언제 끝나는지 알 수 있을까요?	迷宮自動過關時，還可以繼續進行關卡，真是一舉兩得啊！想再次進行關卡，請問自動進行的迷宮什麼時候結束？
자동 진행 중인 던전은 여기 완료까지 남은 시간이 표현돼.	這裡可以顯示正在自動過關中的迷宮，完成前的剩餘時間。
역시 아론님은 모르시는 게 없네요. 대단해!	不愧是亞倫，真是無所不知啊！了不起！
어이 에리카, 던전이 종료 됐다는데 다음엔 어떻게 하면 되는 거지?	餵，艾麗卡，迷宮過關已經完成了，接下來要做什麼？
진행을 종료할 수 있어."	如果完成自動過關，獲得獎勵後即可結束過關。
그래? 나는 보상을 획득하러 가보지.	是嗎？我去拿獎勵了。
중간에 자동 진행을 취소하면 안 될까요?"	"但是，艾麗卡姐姐！我還想去其他迷宮……
물론 취소할 수 있어. 하지만 던전 완료 전에 중지하면 소모한 열쇠는 돌려받을 수 없단다~	雖然可以中途退出，但是在結束前退出的話，將不會退還迷宮鑰匙。
앗.. 그럼 취소를 취소할게요.	啊……那我就取消了。
아론님한테 설명을 들어도 잘 모르겠네.."	"恩……這個要怎麼使用？壞了……
여기 설명을 정리했어."	"尤伊娜，好像還沒完全記住。
어려운게 있으면 <도움말>을 확인해봐.	如果游戏进行过程中有任何问题，请查看<帮助>。
고맙습니다 아론님!	謝謝你，亞倫先生！
캐릭터&스킬	英雄&技能
차후 업데이트 예정	計畫稍後升級
정말 나가시겠습니까?"	"自動過關尚未結束。
획득 후 나가기	獲得獎勵後再退出
2배속급 전투(무료)	2倍加速戰鬥（免費）
금상자(무료)	金箱子（免費）
무기 7개	7件武器
에픽무기	史詩武器
전설무기	傳說武器
6개 ~ 10개	6個-10個
0.5	0.5
0.1	0.1
보석 X 200	寶石X200
X 200	X200
금상자 X 1	金箱子X1
던전 열쇠 x 20	迷宮鑰匙X20
던전 열쇠	迷宮鑰匙
x 20	X20
보석 X 400	寶石X400
X 400	X400
보석 X 600	寶石X600
X 600	X600
플래티넘 상자 X 1	白金箱子X1
플래티넘 상자	白金箱子
보석 X 1000	寶石X1000
X 1000	X1000
데빌 상자 X 1	惡魔箱子X1
데빌 상자	惡魔箱子
X 1	X1
보석 X 2000	寶石X2000
X 2000	X2000
미스릴 소드 패키지	祕銀劍禮包
쯔바이 핸더 패키지	雙手劍禮包
아론 전용 데빌 패키지	亞倫專用惡魔禮包
팔코넷 패키지	鷹炮禮包
봄바드 패키지	攻城炮禮包
아맨다 전용 데빌 패키지	亞倫專用惡魔禮包
미스터리 웨이브 패키지	神奇波禮包
쉐도우 화이어 패키지	影火禮包
에리카 전용 데빌 패키지	艾麗卡專用惡魔禮包
발리스타 패키지	弩炮禮包
피스메이커 패키지	調解者禮包
쏘냐 전용 데빌 패키지	索尼婭專用惡魔禮包
저주 사냥꾼 쏘냐	詛咒獵人索尼婭
저주 사냥꾼 패키지	詛咒獵人禮包
저주 사냥꾼 최고급 패키지	詛咒獵人頂級禮包
쿠나이 패키지	苦無禮包
발리송 패키지	弩炮禮包
킬리안 전용 데빌 패키지	基利安專用惡魔禮包
복수의 그림자 킬리안	復仇暗影基利安
복수의 그림자 패키지	復仇暗影禮包
복수의 그림자 최고급 패키지	復仇暗影頂級禮包
배틀 시그네처 패키지	戰鬥簽名禮包
템테이션 패키지	誘惑禮包
샤르마 전용 데빌 패키지	夏爾瑪專用惡魔禮包
불꽃 주술사 샤르마	烈火女巫夏爾瑪
불꽃 주술사 패키지	烈火女巫禮包
불꽃 주술사 최고급 패키지	烈火女巫頂級禮包
핼버드 패키지	戟禮包
폴엑스 패키지	戰斧禮包
가브엘 전용 데빌 패키지	加布艾爾專用惡魔禮包
혼 스콥처 패키지	神聖之角禮包
데빌 홀 패키지	惡魔洞穴禮包
키츠네 전용 데빌 패키지	靈狐專用惡魔禮包
여우 전령 키츠네	狐狸使者靈狐
여우 전령 패키지	狐狸使者禮包
여우 전령 최고급 패키지	狐狸使者頂級禮包
미스릴 소드 8개	8個祕銀劍
쯔바이 핸더 8개	8個雙手劍
아론 전용 데빌 상자 1개	1個亞倫專用惡魔箱子
아론 전용 유물 무기 4개	4個亞倫專用神器武器
팔코넷 8개	8個鷹炮
봄바드 8개	8個攻城炮
아맨다 전용 데빌 상자 1개	1個艾曼達專用惡魔箱子
아맨다 전용 유물 무기 4개	4個艾曼達專用神器武器
미스터리 웨이브 8개	8個神奇波
쉐도우 화이어 8개	8個影火
에리카 전용 데빌 상자 1개	1個艾麗卡專用惡魔箱子
에리카 전용 유물 무기 4개	4個艾麗卡專用神器武器
발리스타 8개	8個弩炮
피스메이커 8개	8個調解者
쏘냐 전용 데빌 상자 1개	1個索尼婭專用惡魔箱子
쏘냐 전용 유물 무기 4개	4個索尼婭專用神器武器
쏘냐 전용 전설 무기 4개	4個索尼婭卡專用傳說武器
쏘냐 전용 유물 무기 2개	2個索尼婭專用神器武器
쏘냐 캐릭터	英雄索尼婭
쏘냐 전용 데빌 상자 획득	獲得索尼婭專用惡魔箱子
쏘냐 전용 유물 무기 6개	6個索尼婭專用神器武器
쿠나이 8개	8個苦無
발리송 8개	8個弩炮
킬리안 전용 데빌 상자 1개	1個基利安專用惡魔箱子
킬리안 전용 유물 무기 4개	4個基利安專用神器武器
킬리안 전용 전설 무기 4개	4個基利安專用傳說武器
킬리안 전용 유물 무기 2개	2個基利安專用神器武器
킬리안 캐릭터	英雄基利安
킬리안 전용 데빌 상자 획득	獲得基利安專用惡魔箱子
킬리안 전용 유물 무기 6개	6個基利安專用神器武器
배틀 시그네처 8개	8個戰鬥簽名
템테이션 8개	8個誘惑
샤르마 전용 데빌 상자 1개	1個夏爾瑪專用惡魔箱子
샤르마 전용 유물 무기 4개	4個夏爾瑪專用神器武器
샤르마 전용 전설 무기 4개	4個夏爾瑪專用傳說武器
샤르마 전용 유물 무기 2개	2個夏爾瑪專用神器武器
샤르마 캐릭터	英雄夏爾瑪
샤르마 전용 데빌 상자 획득	獲得夏爾瑪專用惡魔箱子
샤르마 전용 유물 무기 6개	6個夏爾瑪專用神器武器
핼버드 8개	8個戟
폴엑스 8개	8個戰斧
가브엘 전용 데빌 상자 1개	1個加布艾爾專用惡魔箱子
가브엘 전용 유물 무기 4개	4個加布艾爾專用神器武器
혼 스콥처 8개	8個神聖之角
데빌 홀 8개	8個惡魔洞穴
강화석 300개	300個強化石
키츠네 전용 데빌 상자 1개	1個靈狐專用惡魔箱子
키츠네 전용 유물 무기 4개	4個靈狐專用神器武器
강화석 1000개	1000個強化石
키츠네 전용 전설 무기 4개	4個靈狐專用傳說武器
키츠네 전용 유물 무기 2개	2個靈狐專用神器武器
키츠네 캐릭터	英雄靈狐
키츠네 전용 데빌 상자 획득	獲得靈狐專用惡魔箱子
키츠네 전용 유물 무기 6개	6個靈狐專用神器武器
X 200a	X 200a
X 5000	X 5000
X 500	X 500
X 40	X 40
영혼	靈魂
X 50a	X 50a
X 10000	X 10000
금상자	金箱子
던전열쇠	迷宮鑰匙
X 10	X 10
보석	寶石
X 100	X 100
강화석	強化石
X 20	X 20
2배속(15분)	2倍加速（15分鐘）
X 1	X 1
출석은 매월 초기화됩니다.	簽到每月重置。
신규 유저 출석 이벤트	新玩家簽到活動
28일 출석 이벤트	28天簽到活動
다른 계정으로 로그인	使用其他帳號登錄
데이터 초기화	數據重置
로그아웃	註銷
계정 연결	連結帳戶
로그아웃 안내	註銷通知
계정 연결을 하지 않은 상태에서 로그아웃 시 데이터가 분실될 수 있습니다. 계정연결 상태를 확인 후 로그아웃을 진행하시기 바랍니다.	如果您未連結帳戶時登出，會遺失資料。確認連結帳戶狀態後，再進行登出。
그래픽 이펙트	圖像效果
자동 레벨업	自動升級
1환생 후 구매가능	重生一次後，可購買
최고급 용의 소녀샵 업그레이드	最高級龍之少女商店升級
웰컴 패키지	新手禮包
강화석 패키지	強化石禮包
- 오프라인 시 전투 속도 증가"	"使用龍之少女商店推薦商品，
> 보석 1500개 지급"	">獎勵1件亞倫傳說武器（響尾蛇）
(카모르의 은총과 함께 사용 시 3배)"	">額外獎勵龍之少女能量塊（3塊-5塊）
(카모르의 가호와 함께 사용 시 3배) "	">每日增加2次免費優化
> 보석 500개 지급"	">獎勵1000個強化石
[F9F6B1]1회 구매 한정[-]"	"龍之少女商店推薦商品
[F9F6B1]1회 구매 한정[-]"	"新手玩家超值優惠！
[F9F6B1]15일[-]"	"卡莫的頂級優惠！
[F9F6B1]7일[-]"	"卡莫的頂級優惠！
보석 500개 획득"	"獎勵1000個強化石
윽... 머리야.. 여긴 어디인거지.?	呃……頭疼……這裡是什麼地方？
이 마물들은 뭐야.. 마물은 500년 전에 사라진걸로 알고 있는데…	這些是什麼怪物啊……據我所知他們已經滅絕500年了……
... 상황이 안좋군. 카모르를 찾아야겠어.	……情況很糟糕啊！我要去找卡莫先生。
끼악!!	哎呀！
엇. 이 목소리는..? 빨리 가봐야겠어.	呃。這是什麼聲音……？我得快去看看。
도와주셔서 정말 감사해요. 혹시.. 여기가 어딘지 아시나요?	感謝你出手幫助。對了……您知道這裡是什麼地方嗎？
!..유이나?? 너가 왜 여기 있는거야? 카모르는 어떻게 됐지?	！尤伊娜？？你怎麼在這裡？卡莫先生怎麼樣了？
아…카모르..요? ..눈 떠보니 마물들이 절 쫓아와서.. 아무 기억이 나지 않아요..	啊……卡莫先生？一睜開眼睛就看到怪物在追趕我……我根本不記得發生了什麼……
끼악!!	哎呀！！
조심해!. 일단 마물들부터 처리하고 얘기 하자	小心！我們先解決這些怪物，然後再說吧！
마물들을 이렇게 쉽게 처치하시다니.. 대단해요!	我第一次遇到這麼輕鬆就解決怪獸的人……真了不起!
난 용의 수호대의 리더 <아론>이야. 너와 카모르를 지키는 수호대장이였어.	我是龍的守護隊的首領<亞倫>。是守護你和卡莫先生的守護隊隊長。
계속 얘기하자면, 네 이름은 <유이나>고 넌 천년 용 카모르의 유일한 계약자야.	說起來，你的名字叫<尤伊娜>，你是千年龍卡莫先生唯一的契約人。
천년 용이요? (그 용인건가..)	千年龍嗎？（是那條龍嗎？）
그래. 오래동안 인간들을 보살피던 신같은 존재지. 일단 신전으로 돌아가자	是的。它就像一個長久守護人類的神。我們先回神殿吧！
이 결정들은 아까도 마물들이 사라지면서 남기던데 뭘까요..?	你知道這是什麼嗎？這些晶石是之前的怪物消失時留下來的。
그건 정화의 결정이야. 마물이 죽으면 정화의 결정으로 변하지.	這些是淨化的晶石。怪物死亡後會變為淨化晶石。
화면 중앙 아래에 있는 [fdef94]<캐릭터 초상화>[-]를 눌러봐. 흡수를 하면 전투능력이 강화돼.	點擊位於介面中間的[fdef94]<英雄肖像>，吸收晶石後可提高戰鬥能力。
신기해요! 정말 강해지는 기분이에요.	真神奇！感覺真的變強了。
그럼 강해졌으니 저기 번개빛이 보이는데로 가볼까?	既然變強了，我們去那邊有閃電的地方吧！
멀리서 번개치는 걸 보고 무슨 일인가 싶어 왔는데.. 역시 너였군.	遠遠看到閃電，想看看發生什麼事情了！果然是你。
아론! 마침 잘왔어! 갑자기 마물들이 대규모로 출몰해서 전투 중이야.	亞倫！來的正好！怪物突然大規模出沒，我正在消滅它們。
그나저나 네 뒤에 있는 애는 누구야? 눈에 익는데.. 많이 본 옷인걸??	對了，你身後的人是誰啊？看起來很眼熟……她的衣服看起來也很眼熟啊？？
안녕하세요. 전 유이나라고 해요.	您好！我是尤伊娜。
네에??????호호호..유…유이나?	什麼？？？？？？呵呵呵，尤……伊娜？
유이나.. 어쩌다 이리 작아진거니...	尤伊娜……你怎麼變小了？
네?...작아..지다나요?	什麼？變小？
음…니가 걱정할까봐 아직 얘기하지 않았지만	恩，我怕你擔心，所以還沒告訴你。
지금보다 키도 크고 더 성숙한 모습이었어…	你之前的個子更高、更成熟。
기억을 잃은거야?? 나는 수호 마법대 리더 <에리카> 라고 해.	你失憶了嗎？？我是守護魔法隊隊長，我叫<艾麗卡>。
정신을 잃기전, 폭주한 용을 막다 큰 폭발이 일어난 것 빼면 아무 기억이 안나요..	我只記得為了阻止狂暴的龍，發生了大爆炸。其他的完全不記得了……
아마 그 용이 천년 용 <카모르> 일꺼야.	估計那條龍就是千年龍<卡莫>。
마물들이 생기고 나서 카모르가 폭주한 것 같아.	怪物出現後，卡莫先生就變狂躁了。
아마 유이나는 용님의 폭주를 막느라 많은 힘을 써서 이렇게 된거 아닐까?	估計尤伊娜之所以變小是為了阻止龍狂暴使用過多力量導致的吧？
제가 아무 힘이 없어 큰일이네요.. 죄송해요..	完了，我現在一點力量也沒有了……真對不起……
걱정하지마 유이나. 넌 우리가 지킨다.	別擔心，尤伊娜。我們會保護你。
후...이 마물들은 끝도 없군.	哎，這些怪物真是沒完沒了啊。
앗! 여러분...! 방금 카모르님의 마법이 하나 떠올랐어요.	啊！諸位……！我剛剛想起來一個卡莫先生的魔法。
저의 기도를 통해 강한 힘을 드릴게요.	透過我的祈禱，賦予你們更強的力量。
화면 오른쪽 하단에 있는 [fdef94]<소녀의 기도>[-]를 눌려 사용해 주세요.	請點擊位於介面右下方的[fdef94]<少女的祈禱>[-]，使用該技能。
<소녀의 기도>를 사용하면 파티원들의 공격력,방어력이 상승되요.	使用<少女的祈禱>，可提升所有隊員們的攻擊力、防禦力。
방금 전 전투에서 양손검을 획득한거 같은데..	在之前的戰鬥中好像獲得了雙手劍……
화면 오른쪽 하단에 있는 <상자>를 터치하면 확인 할 수 있을 것 같아.	請點擊位於介面右下方的<箱子>進行確認。
양손검이라고?	雙手劍嗎？
안그래도 지금 사용하는 검은 못쓸정도이니 그걸로 교체해야겠네.	正好現在用的劍已經沒法用了，我可以換那把劍。
화면 오른쪽 하단에 있는 <무기 아이콘>을 눌려 무기를 교체해봐	請點擊位於介面右下方的<武器圖示>，更換武器。
유이나 혹시 <슬라임 박스>를 알아?	尤伊娜，你知道<史萊姆箱子>嗎？
슬라임 박스? 그건 뭔가요?	史萊姆箱子嗎？那是什麼？
데빌홀에서 나온 슬라임은 빛나는걸 좋아하거든	它是惡魔洞穴中的一種史萊姆，很喜歡閃亮的東西。
그 슬라임들이 광산 박스안의 광물을 먹기 위해 들어갔다가 못나왔다고 하더라고~	據說它為了吃礦山箱子裡面的礦物而困在裡面~
후훗 욕심쟁이들이네요.	哈哈，原來是群貪吃鬼啊。
응. 슬라임은 욕심쟁이에다가 장난도 아주 심해 지나가는 인간들을 놀래킨다더라 조심해~	恩。它不但是個貪吃鬼，還是愛搗蛋，經常嚇唬過路人，一定要小心~
아론님! 저기 어린아이가 마물과 혼자 전투하고 있어요..!	亞倫先生！那邊有一個小孩獨自與怪物戰鬥呢！
엇…? 아맨다 아니야?	哎……？那不是艾曼達嗎？
맞는거 같은데? 빨리 가보자!	好像是她。快過去看看！
어머..이번에도 제가 아는분인가요?	哎呀，這次不會也是我認識的人吧？
음..그랫지 심지어 친했었어	恩，不但認識，還很親近。
이런… 빨리 가봐요!	啊……快去看看！
앗! 역시 기도하니 유이나님이 나타났어! 대단해. 감사합니다!	啊！果然，我剛祈禱，尤伊娜小姐就出現了！了不起！謝謝！
..미안해요.. 사실...제가 기억을 잃어서.. 누구신지 몰라요..	……對不起……事實上我失憶了……所以我不記得你是誰了……
이런..괜찮으세요? 다시 인사 드리면 되죠! 전 하사이스족 족장의 딸 <아맨다>라고 해요.	啊……您還好嗎？我再做一次自我介紹就好了！我是哈塞思族族長的女兒，我叫<艾曼達>。
그나저나 아맨다 왜 혼자서 여기까지 와서 싸우고 있어?	對了，艾曼達你怎麼獨自一人在這裡戰鬥啊？
며칠전 마물들의 대규모 공격에 부족민들이 대부분이 죽고, 전 여기로 도망왔어요…	前幾天，怪物大舉進攻，我們部落的人大都被殲滅了，我逃亡到這裡……
이런… 우리랑 같이 가는건 어때..?	啊……你要不要和我們一起走？
...정말요? 너무 감사합니다!	可以嗎？太謝謝您了！
물론이지! 그런데 어린데도 전투를 정말 잘하는구나? 대단해~	當然可以啦！雖然你還年輕，但是真的很擅長戰鬥呢！了不起~
전 하사이스족의 순찰자라 어느 정도의 전투능력이 있어요!	我是哈塞思族的守護者，所以擁有一些戰鬥能力！
아론님이나 에리카님에 비하면 아직 초보지만요. 헤헷	但是與亞倫先生和艾麗卡小姐相比，還只是剛剛入門而已。嘿嘿
아까전부터 이상한 기운이 느껴져요.	從剛才就覺得有些奇怪……
마물도 아니고, 인간도 아닌…	既不是怪物，也不是人類……
바로 저 앞이에요.	就在那個前面。
엇! 저 사람 누구지?	哎！那個人是誰啊？
나 는 가 브 엘 마 물 을 처 치 한 다 신 전 을 지 킨 다	我是加布艾爾，消滅怪物，保護神殿。
아! 고대 신전을 지키는 수호자 인듯 하네요	啊！看起來好像是守護古代神殿的守護者。
수호자?	守護者？
저희 아버지에게 들은 적이 있어요. 인간 마법사들이 힘을 합쳐 만든 신전을 지키는 수호자!	我聽我父親說過。他是守護人類魔法師合力建造神殿的守護神！
인 간 ? 나 는 인 간 을 돕 습 니 다	人類？我要守護人類。
다행히 우리의 적은 아닌듯 하군.	幸好他不是我們的敵人。
윽… 머리..머리가 너무 아파요..	呃……頭……頭好疼啊……
마물의 정신공격인가? 조금만 기다려..! 실드를 걸어줄께! 나아질꺼야	是怪物的精神攻擊嗎？稍等……！我召喚一個盾牌！你會舒服一點。
유이나님! 여기 물 좀 드셔보세요. 좀 괜찮으세요?	尤伊娜小姐！您喝點水吧。感覺好些了嗎？
네에 돌봐주시느라 힘드셨죠..? 너무 감사해요..!	辛苦您照顧我。謝謝……！
여러분. 저 기억이 많이 돌아왔어요! <카모르>님과의 기억두요!	諸位。我想起了很多事情！包括我和卡莫先生的記憶！
이제 용님의 능력도 쓸 수 있어요!	現在可以使用龍的能力！
!!!	！！！
마물들이 기사단까지…	怪物把騎士團……
기사단까지 폐허가 되어 버리다니…	騎士團也變成了廢墟……
혹시 생존자가 있을지 모르니 좀 더 조사해 보자.	不知道是否有倖存者，大家仔細找一下。
그래..	好的。
여긴 왜이리 마물들이 많지?	這裡的怪物為什麼這麼多？
저 멀리 엄청 쎄보이는 마물이 있는 듯한데요.	遠處好像有一個很強壯的怪物。
전 <소녀의 기도>를 사용해서 도와드릴께요!	我使用<少女的祈禱>來協助你們！
화면 오른쪽 하단 <소녀의 기도> 아이콘을 눌려 사용하세요!	請點擊介面右下方<少女的祈禱>圖示使用該技能！
캐릭터들을 레벨업하면 전투가 수월할꺼야.	升級英雄，讓戰鬥變得輕鬆。
아까전 큰 마물을 처치하고 뭔가를 획득한 거 같은데 뭐에요?	我消滅剛才的怪物時，好像得到了什麼東西。
아맨다님이 사용하시는 무기와 비슷한 무기로 보이던데요.	看起來和艾曼達小姐使用的武器很相似。
너의 무기인듯하니 한번 장착해봐.	好像是你的武器，你穿戴看看。
장착 무기 변경은 화면 오른쪽 하단 <무기 아이콘>을 눌려서 진행하면 되요.	點擊介面右下方的<武器圖示>，更換穿戴武器。
새로운 무기라 벌써 기대되는데요!	好高興可以使用新武器啊！
모두들 잘 해주고 있어.	大家做得不錯。
음.. 전투를 잘하면 꾸준히 <레벨업>을 해야 해.	恩。一直<升級>才能確保更好地戰鬥。
아! 그렇군요!	啊！我明白了！
레벨업은 화면 중앙하단 <캐릭터 초상화>를 누르면 되요.	點擊介面中間的<英雄肖像>即可升級。
빨리 레벨업을!	快點升級吧！
맞다! 슬라임 박스를 만났을 때에는 다같이 공격을 해야 해요.	對了！遇到史萊姆箱子時，大家要一起攻擊。
역시 공격만이 답인가..	果然攻擊才是王道。
네. 공격을 하면 <정화의 결정>과 <보석>을 획득할 수 있어요.	是。進行攻擊，可以獲得<淨化晶石>和<寶石>。
보석..이요? 슬라임 박스를 빨리 만나고 싶네요!	寶石嗎？真想快點遇到史萊姆箱子啊！
슬라임 박스는 아주 좋은 마물이군.	史萊姆箱子真是個好怪物。
에리카님! 어떻게 해서 아론님과 친구가 되신거에요?	艾麗卡小姐！您是怎樣和亞倫先生成為朋友的？
호호호. 그게 궁금해?	哈哈哈。你想知道嗎？
우린 어느 시골에 살던 아이들이었어. 어릴적부터 치고 받고 많이 싸웠지.	我們是生活在同一個村裡面的孩子。小時候就經常打架。
아! 어릴적 친구구나.	啊！原來是兒時夥伴啊。
에리카. 그만하지.	艾麗卡。別說了。
호호호. 다음 얘기는 다음에~	哈哈哈。剩下的故事以後再說~
유이나! 기도해 줄 수 있어?	尤伊娜！你能祈禱嗎
앗! 네!	啊！可以！
벌써 기도하는 법을 잊어버린건 아니겠지?	你該不會又忘記怎麼祈禱了吧？
아. 그럴리가요. 화면 오른쪽 하단에 <소녀의 기도>를 누르면 되잖아요.	啊。怎麼會。點擊介面右下方<少女的祈禱>圖示即可。
기억이 잘 돌아왔네 다행이야	幸好你都想起來了。
유이나님 파이팅!	尤伊娜小姐，加油！
에~리~카~님~(조용히)	艾~麗~卡~小姐（悄悄地）
저번에 얘기해주던거 언제 해주시나요?	您什麼時候講之前沒說完的故事？
아! 그거. 우린 같은 아카데미 수석 차석 출신으로 수호대에 입단했고, 지금은 둘다 대장 위치에 있지.	啊！那個呀。我們倆作為學院的第一名和第二名加入了守護隊，現在兩個人都是隊長。
우와! 멋지네요! 그런데 설마.. 막 둘이 좋아하고 그런 사이는 아니죠?	哇！太帥了！難道……你們兩個不會是互相喜歡吧？
쓸때 없는 대화가 삼가하지.	不要說廢話。
과거 카모르님께서 인간 세상의 영혼에 대해서 말씀해 주신적이 있어요.	之前，卡莫先生曾說有關人類世界靈魂的的事。
영혼?	靈魂嗎？！
네. 이 영혼을 이용하면 인간의 잠재력을 극한으로 올릴 수 있다고 하셨어요.	是。據說使用靈魂可以極度提升人類潛能。
그렇군. 그럼 빨리 영혼으로 나를 강하게 해줘.	是這樣啊。那快點用靈魂強化我吧。
이제 영혼을 이용할 때가 된거 같아요. 영혼을 획득해야 해요.	現在似乎可以使用靈魂了。首先要獲取靈魂。
영혼을 획득하려면 어떻게 해야해?	如果想獲得靈魂，要怎麼做呢？
화면 왼쪽 하단 환생 버튼을 눌러 환생을 하면 되요.	點擊位於介面左下方的重生鍵，進行重生。
환생?	重生嗎？
환생을 하면 영혼으로 상승된 능력치는 유지되지만 정화의 결정으로 상승된 능력치는 사라지게 되요.	重生後，使用靈魂可以保持增加的能力值，而使用淨化晶石可以消除增加的能力值。
잘 판단해서 환생을 해야겠군.	好好考慮是否需要重生。
아직 환생을 하지 않은건가..	還沒重生嗎？
어서 환생을 하여 더욱 강해져야 해요.	快點重生，才能變得更強。
